longitude,latitude,Location,Cult,Image
-97.34277844,31.09823936,"Temple, TX",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-111.9710481,41.06022231,"Layton, UT",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-82.18880401,36.59514282,"Bristol, VA",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-76.28587098,36.85076953,"Norfolk, VA",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-77.43604511,37.5407282,"Richmond, VA",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-76.70745621,37.27070433,"Williamsburg, VA",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-78.1633296,39.18566412,"Winchester, VA",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-119.2844582,46.28569366,"Richland, WA",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-122.4442878,47.25287879,"Seattle/Tacoma, WA",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-119.4395,48.70515633,"Tonasket, WA",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-88.41538442,44.26193424,"Appleton, WI",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-89.68345672,45.18052366,"Merrill, WI",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-87.90647204,43.03890263,"Milwaukee, WI",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-89.77095654,43.62747987,"Wisconsin Dells, WI",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-81.22231948,37.26984378,"Bluefield, WV",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-81.99345804,37.84871827,"Logan, WV",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-81.71068232,38.8186978,"Ripley, WV",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-106.3130792,42.86663487,"Casper, WY",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-106.806423,41.45496223,"Saratoga, WY",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-104.952748,42.05441765,"Wheatland, WY",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
168.3220307,-17.73481498,"Port Vila, Efate",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
167.3972914,-16.0760686,"Norsup, Malakula",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
169.2819099,-19.53890524,"Isangel, Tanna",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
31.0539637,-17.82921512,"Harare, Zimbabwe",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-59.84106737,-37.20172422,"Buenos Aires, Buenos Aires",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-67.70022287,-53.78603317,"Rio Grande, Tierra del Fuego",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
149.1242283,-35.30823314,"Canberra, ACT",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
151.2069917,-33.86748327,"Sydney, NSW",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
153.0234495,-27.47100929,"Brisbane, QLD",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
138.599962,-34.92861674,"Adelaide, SA",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
146.3609551,-41.17834858,"Devonport, TAS",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
144.9632825,-37.81410659,"Melbourne, VIC",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
115.8574732,-31.95300197,"Perth, WA",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
144.961946,-37.77172281,Christ Church,Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
4.351710986,50.85034244,Brussels,Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
37.61842524,55.75124443,Moscou,Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
