X,Y,Location,Cult,Image
-73.23333,10.033333,"Codazzi, Columbia",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-72.503891,7.894167,"Cúcuta, Columbia",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-75.575134,6.235925,"Medellín, Columbia",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-75.893181,2.397169,"La Plata, Columbia",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-78.524277,-0.229498,"Quito, Ecuador",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-91.314995,15.803793,"Barillas, Guatemala",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-89.883301,16.929987,"Flores, Guatemala",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-90.535278,14.613333,"Guatemala City, Guatemala",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-89.925323,14.19308,"Jutiapa, Guatemala",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-91.714958,14.792433,"Quetzaltenango, Guatemala",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-99.881615,16.863794,"Acapulco, Mexico",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-86.84594,21.158964,"Cancún, Mexico",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-106.462563,31.731129,"Cd Juárez, Mexico",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-106.405441,31.713499,"Cd Victoria, Mexico",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-106.08889,28.635279,"Chihuahua, Mexico",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-100.138199,19.802839,"El Oro, Mexico",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-103.343803,20.67359,"Guadalajara, Jalisco",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-96.913742,19.542624,"Jalapa, Mexico",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-93.062386,18.176027,"Jalpa de Mendez, Mexico",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
